абитуриент	entrant
знаменитый	eminent
знамя	ensign
знаток	proficient
значение	significance; sense; value
значимый	substantial; relevant; significant
значительно	greatly; vastly
значительный	considerable; significant; major; sizable; substantial
значить	denote
значок	badge
знающий	experienced
зона действия	coverage
зоркость	vigilance
зрелый	mature; ripe
зубчатая стена	battlement
зуд	itch
и глазом не моргнуть	not bat an eye
и так далее	and so on
и тому подобное	and so on
игла	needle
игнорировать	disregard; neglect
иголка	needle
игольница	pincushion
играть в азартные игры	gamble
игривый	playful
идеальный	perfect
идиот	schmuck
идти на убыль	wane
идти рысью	trot
идти с трудом	traipse
идти шатаясь	lurch
из головы	out top of my head
из ниоткуда	out of blue
из первых рук	firsthand
из-за	due to
избавиться	get rid of
избавление	disposal
избавлять	redeem; rid
избавляться	dispose
избегать	avoid; elude; evade; shun
избежание	eschewing
избирательная компания	election
избирательный бюллетень	ballot
избирательный округ	constituency
избирательный участок	precinct
избитый	well-worn; battered
избыток	excess; exuberance; spillover; profusion; abundance; surplus
избыточные производственные мощности	overcapacity
избыточный	excessive; redundant; surplus
избыточный вес	overweight
извергать	excrete; emit
извержение	eruption
известить	acquaint
известковый раствор	mortar
известность	fame
известный	distinguished; prominent
известняк	limestone
извещать	apprise; advise; warn
извиваться	squirm; wriggle
извинение	apology
извиняться	apologize
извлекать	elicit
извлекать выгоду	gain
извлечение	extract
извлечь	extract
изводить	exasperate
извозчик	charioteer
извращать	pervert
извращенец	pervert
извращенный	perverse
изгиб	curve; inflection
изгнание	exclusion
изгнанник	exile
изгнать	drive away
изгонять	expel
изгородь	fence
издалека	afar
издали	afar; afar
издевательство	mockery
издеваться	mock; scoff
издержки	outlay; expense
излагать	expound; recite
излишек	surplus; excess
излишне	overly; unduly
излишне подчеркивать	exaggerate
излишне сентиментальный	gushy
излишний	redundant
изложение	presentment
изложение фактов	narrative
излучать	emit
измена	treason
изменение	amendment
изменник	traitor
изменять	alter; modify; betray
измерительный прибор	gauge
измерять	gauge; measure
изморось	drizzle
измотанный	worn out
измученный	worn out
изнашивание	depreciation
изношенный	battered; worn out
изнурение	attrition
изнуренный	exhausted; meager
изо всех сил	with might and main
изобилие	abundance; plethora; profusion; exuberance; opulence; richness; wealth; plenty
изобилующий	wealthy
изображать	depict; portray
изобретательность	ingenuity
изобретать	invent; devise
изогнутый	convoluted; crooked
изолировать	insulate; seclude
изолятор	infirmary
изоляционный материал	insulation
изоляция	insulation
изорвать в клочья	tatter
изощренность	sophistication
изредка	occasionally
изречение	adage
изувечить	mangle; lame
изумительный	fabulous
изумление	amusement; amazement; wonder
изумленно	dazedly
изумлять	astonish
изучать	scrutinize; inspect
изъян	shortcoming
изысканно	exquisitely
изысканность	sophistication
изысканный	exquisite; subtle
изыскатель	prospector
изюм	raisin
изюминка	punchline
изящество	refinement
изящный	porcelain
икота	hiccup
ил	slime; sludge
иллюзия	delusion
иметь в виду	intend
иметь в наличии	stock
иметь в руках	wield
иметь дело	deal
иметь отношение	pertain; relate; concern
иметь склонность	tend
иметь смысл	worthwhile
иметь сходство	resemble
иметь тенденцию	tend
имеющий отношение	pertinent
имеющий право	eligible
имеющий решающее значение	decisive
имеющийся в изобилии	abundant
имитировать	imitate; impersonate
импровизированный	offhand
импульсивный	impetuous
имущественный	pecuniary
имущество	estate; asset
инакомыслящий	maverick
иначе	otherwise
индивидуалист	maverick; loner
индивидуально	singly
индивидуальный	bespoke
иногда	occasionally
инородный материал	contaminant
инсульт	stroke
интенсивный	intense
интересоваться	wonder
интермиттирующая	intermittent
интерполировать	interpolate
интерпретировать	construe
интимность	intimacy
интонация	inflection
интрига	shenanigan; intrigue
интуиция	serendipity
инфекция	contagion
информировать	apprise
иск	complaint; lawsuit
искажать	distort; mangle
искаженный	halting
искать	seek; grope
искать заказы	canvassing
исключать	expel; eliminate
исключая	barring
исключение	exclusion; exemption
исключительно	solely
исключительный	exclusive; preeminent
исключить	preclude; drive away; exterminate
ископаемый	fossil
искоса	askew
искра	spark
искренне	earnestly
искренний	hearty; sincere; honest
искрить	spark
искупить	atone
искупление	redemption
искусность	ingenuity; subtlety
искусный	feat; dexterous; proficient; subtle
искушать	tempt; bait
искушение	temptation
испаряться	evaporate
испачканный	bedraggled
испещрять	speck
исповедаться	confess
исподлобья	sullenly
исподтишка	stealthily
исполнение	performance
исполнять	comply
использование	applying
использовать	exploit; apply; employ; exercise
использовать вместо	substitute
использовать рычаг	lever
испортить	botch
испорченный	naughty
исправить	rectify
исправление	amendment
исправлять	amend; remediate; remedy; revise
испуг	fright; startle
испуганный	afraid
испугаться	frightened
испытание	trial; adversity
испытательный срок	probation
испытующий взгляд	scrutiny
испытывать боль	ache
испытывающий страдания	patient
исследовать	investigate; scrutinize
истекать кровью	bleed
истец	plaintiff
истина	sooth
истинный	genuine
истолковывать	construe
истома	languor
истории	stories
источник	origin
истощать	deplete; exhaust
истощение	attrition; attenuation
истощенный	exhausted
истощимый	exhaustible
истязать	excruciate
исход	outcome
исходное условие	premise
исчезать	vanish; evaporate
исчерпаемый	exhaustible
исчерпывать	deplete
исчерпывающий	exhaustive
исчисление	calculus
к сожалению	alas
к тому времени	by the time
кабачок	squash
кабель	wire
кабина	booth
каверза	intrigue
каверна	cavity
кавычка	quote
каждому свое	each to his own; each to their own
каждый	either
каждый в свою	each to his own
казаться	seem
казна	coffer; treasury
как гром среди ясного неба	out of blue
как раз	even
как хочешь	it is up to you
как-нибудь	somehow
калека	cripple
калечить	mangle
калий	potassium
калийный	potassium
каменоломня	quarry
камера	ward
камин	hearth
канал	conduit
канализационная труба	sewer
канат	rope
кандалы	shackle
канделябр	chandelier
каникулы	vacation
канифолить	resin
канцелярские принадлежности	stationery
канцелярские товары	stationery
капанье	drip
капать	drip
капелька	droplet; smidgen
капля	bead
капремонт	overhaul
каприз	whim
капризный	freakish; naughty
капуста	cabbage
карабкаться	scramble; climb
каравай	loaf
каракули	scribble
каракуль	scrawl
карательный	punitive; penal
карать	scourge
кардинально	drastically
карманные деньги	allowance
карнизы	cornices
картина	painting
карточки	rationing
карьер	quarry
касание	tangency
кастрюля	pan
касты	stratify
катастрофический	disastrous
катафалк	hearse
катить	roll
катиться	roll
каток	rink
катушка	coil; reel
кафель	tile
качать	sway; swing; pump
качаться	sway
кашель	cough
кашлять	cough
каштан	chestnut
квалифицировать	qualify
кварц	quartz
кессон	coffer
кивать	wag
кивать головой	nod
кивок	nod
кидать	toss; cast
киоск	booth
кипение	ebullition
кипятить на медленном огне	simmer
кисет	pouch
киста	cyst
кисть	brush
кичиться	boast; brag
кишечник	intestines
кишки	gut
клапан	valve
класс	grade
класть	lay; stuck
класть в долгий ящик	shelve
клевать	nibble
клевета	defamation; slander
клей	adhesive
клейкость	viscosity
клетка	cage
клещ	mite; tick
клин	gore; wedge
клочок	scrap; shred
клочья	tatter
клуб	club
клубок	clew
клумба	flowerbed
клюв	beak
ключ к разгадке	clue
ключевой	crucial
кляр	batter
клясться	swear; sworn; vow
клятва	oath; vow; swear
книга счетов	ledger
кнопка	knob
кнут	lash; whip
кобура	holster
кобыла	mare
коварно	insidiously
коварный	devious; insidious; sly; cunning
коварство	craftiness; cunning; treachery; guile
ковать	forge
ковер	rug
коверкать	distort
ковкий (о металле)	malleable
коврик	rug
ковш	ladle; bucket
когнитивный	cognition
кого	whom
коготь	talon
кое-что	somewhat
кожа	pelt
кожевенный завод	tannery
кожица	peel
кожура	rind
козел отпущения	scapegoat
козырек	visor
колба	flask
колготки	pantyhose; tights
колебание	indecision
колебаться	falter; fluctuate; waver; wobble
колеблющийся	hesitant
колени	lap
коленный сустав животных	stifle
колечко	ringlet
коллега	counterpart
коллектор	sewer
коллизия	collision
колонна	pillar
колонны	columns
колотить	batter
колоть	prick; stab; thrust
колун	cleaver
колыбельная	lullaby
колыхаться	waver
кольцевой	annular
кольцеобразный	annular
кольцо	hoop
колючка	barb
коляска	pram; stroller
комбинированный	composite
комендантский час	curfew
коммуникации	conduit
комода	drawer
комок	wad
компенсация	reimbursement; offset; remuneration
компенсация за поломку	breakage
компенсация при увольнении	severance package
компенсировать	recoup; offset; reimburse
компетентный	wise
комплексный	comprehensive
комплимент	kudo
компонент	constituent
компромис	tradeoff
компромисс	trade-off
кому	whom
кому как	each to their own; each to his own
кондитерские изделия	confection
конечно	certainly; indeed; surely
конечность	limb
конечный	finite
конкретный	particular; certain; concrete
конкурент	rival; competitor
конкуренция	rivalry
конкурировать	compete; rival
консультативный	advisory
консультация	advice
консультировать	advise
контакт	liaison
контактное лицо	interlocutor
контейнер	crisper
контейнер для фруктов и овощей (в холодильнике)	crisper
контракт	indenture
контролировать	oversee
контролируемый	discretionary
контузия	concussion
контур	outline
конус	cone
конфликтная ситуация	collision
конфликтовать	clash
конфронтация	clash
конфузить	abash
концентрация	density
концентрировать	condense
кончина	demise
конюх	groom
копать	dig; spade
копаться	delve; rummage; loiter
копировать	imitate
копить	save up
копия	counterpart
копыто	hoof
кора	rind; bark
корабль	vessel
коренной	indigenous
корзина с крышкой	hamper
коридор	hallway; passage
корка	peel
корма	aft; stern
кормилец	breadwinner
кормить	nourish
кормовой	aft
королевская креветка	prawn
королевство	realm
короткий сон	nap
коротко остриженные волосы	stubble
короче говоря	long story short
корпорация	incorporation
корректировка	tweak
кортеж	entourage
корчевать	stump
корчиться	squirm
корыстный	selfish
корыто	trough
корь	measle
коса	scythe
косвенно	circumstantially
косить	mow; scythe
косматый	shaggy
космы	mop
косо	askew; aslant
косой	oblique
костенеть	stiffen
костер	bonfire
косяк	shoal
которого	whom
кошелек	purse
крадучись	furtively
кража	robbery
кража со взломом	burglary
край	verge
крайне	utterly; vastly
крайне необходимый	imperative
крапинка	speck
красивая	bimbo
красить	dye
краска	dye
краснеть	blush
красноречие	eloquence
красотка	bimbo
красться	crouch; sneak
кратер вулкана	vents
краткий	concise; succinct
кратко	concisely; concisely
краткое посвящение	inscription
краткое руковдство	compendia
крахмал	starch
кредитоспособность	creditworthiness
крен	lurch
крениться	lurch
крепкий	firm; robust; stout; husky; tenacious
крепко	tight
крепко обнимать	hug
крепостной	serf
кресло	chair
крестить	baptize
крестьянин	rustic
кривая	curve
кривизна	curve
кривой	crooked
крик	shout
критиковать	vilify
критический	crucial
кричать	yell
кричащий	glaring
кров	shelter
кровоизлияние	hemorrhage
кровоподтек	bruise
кровопролитие	slaughter
кровоточить	bleed
кроме	besides; apart; unless
кроме того	moreover; besides; as well
кромка	hem
кромсать	shred
кронштейн	bracket
крот	mole
кротко	meekly
кротость	meekness
крошечные	teeny-tiny
крошечный	tiny; miniscule
крошиться	crumble
крошка	chit; crumb
круг	lap
круглый	circular
кружево	lace
кружить в водовороте	swirl
кружки	mugs
крупа	groat
крупица	particle; crumb
крупная креветка	prawn
крупный	major
крупный рогатый скот	cattle
крутить	twist
круто	steeply
крутой	steep; precipitous
крутой обрыв	cliff
крутящий момент	torque
кручение	twist
крушение	wreck
крыльцо	porch
крышка	lid
крюк	hook
крючок	hook
кто пристает	molester
кувырок	flip
кудряшка	ringlet
кузнец	forger
кузнечик	grasshopper
кукуруза	maize
кульминация	punchline; pinnacle
культивируемый	arable
купаться	bathe
купе	compartment
купол	dome
курган	barrow; mound
курить	fume
курица	hen
курорт	resort
курс	policy; itinerary
курсант	plebe
кусать	bite
кусок	chunk; lump; hunk
кусочек	tasting
кустарник	shrub; brushwood
куча	pile
кучер	charioteer; coachman
кушетка	settee
куща	foliage
лавина	avalanche
лавочка	bench
лавры	laurels
ладанная сосна	loblolly
ладить (с кем-либо)	get on with
ладонь	palm
лаз	manhole
лазарет	infirmary
лазутчик	infiltrator
лай	bark
лак	varnish
лакей	footman
лаконично	concisely
ламантин	manatee
ламинария	kelp
лампа	lightbulb
лампочка	lightbulb
лапа	paw
лапать	paw
ларец	coffer
ласка	weasel
ласка. доброта	tenderness
ласкать	caress; stroke
ласковый	tender
ластик	eraser
ласточка	swallow
латук	letuce
латунь	brass
лачуга	hovel; hut; shack
лаять	bark
лебезить	fawn
легальный	legitimately
легировать	alloy
легитимность	legitimacy
легкая детская коляска	stroller
легкий туман	haze; mist
легковерный	gullible
легкое	lung
легкомысленный	frivolous; lightheaded
легкомыслие	levity
легкость	levity
ледник	glacier
лежать	lay
лекало	mould
лекарство	remedy
лелеять	cherish
ленивый	floppy
лениться	idle
лента	ribbon
лепесток	petal
лепетать	babble
лесистый участок	timberland
лесные участки	timberland
лесозаготовка	logging
лесок	grove
лесоматериалы	timber
лесоруб	lumberjack; woodcutter
лестница	ladder; stair
лечение	treatment
лечить	treat
леший	wood goblin
лещ	bream
лживость	deceit
ли	whether
либеральный	permissive
либо	whether
ликвидационная стоимость	salvage value
ликовать	jubilate; rejoice
лимфоузел	node
линия	line
липкий	adhesive; clingy
липкость	viscosity
лист	sheet
листва	foliage; sheet
листья	foliage
литейщик	smelter
лить (слезы, кровь)	shed
лихой парень	lad
лихорадка	fever
лихорадочный	hectic
лицемер	hypocrite; creep
лицемерие	hypocrisy
лишать	deprive; disappoint
лишать права пользования	foreclose
лишать свободы	imprison
лишать средств	impoverish
лишаться	forfeit
лишение	divestiture
лишение гражданства	revocation
лишенный	bereft
лишить	divest
лишний	spare
ловкий	deft; dexterous; nimble
ловкость	agility; dexterity
ловкость рук	legerdemain
ловушка	decoy; pitfall
логирование	logging
логический	inferential
лодыжка	ankle
ложно	falsely
ложный	spurious; erroneous; pseudo
ложный довод	fallacy
ложь	deception; falsehood; guile
локон	curl; ringlet
лом	scrap
ломать	fracture
ломка	abstinence
ломкий	brittle
ломкость	fragility
ломоть	hunk
лоно	bosom
лопата	spade
лотерея	raffle
лоток	tray
лохматый	shaggy
лохмотья	tatter
луг	meadow
лужа	puddle
лужайка	lawn
лук-шалот	scallion
лукаво	archly
лучше	rather
лучший образец	masterpiece
лущить	husk
лысый	bald
льгота	exemption
льстивый	adulatory
льстить	flatter
любезно	amiably
любезность	kindness
любезный	obliging; affable; polite
любимый	beloved
любитель	dilettante
любоваться	admire
любовная связь	liaison
любовница	mistress
любовь	affection
любознательность	curiosity
любознательный	inquisitive; curious
любой	either
любопытный	curious; nosy
любопытство	curiosity
любым образом	anywise
любым способом	anywise
любящий	fond
людской муравейник	hive
люк	hatch; manhole
люстра	chandelier
лютый	fierce
люфт	backlash
ляжка	thigh
лязг	clank
магнат	mogul
мазать дегтем	tar
мазь	ointment
маис	maize
майорат	entail
максимум	at most
макушка	vertex
маленькая вещь или существо	mite
маленькая кучка	handful
маленький	diminutive
маленький-крошечные	teeny-tiny
маловероятный	unlikely
малость	smidgen
малыш	tot
мальчишка	urchin
манда	quim
мандатный	mandatory
манера вести себя	demeanor
манера поведения	demeanor
манерность	affectation
манеры	behaviour
мансардное окно	skylights
мантия	gown; cloak
маринад	pickle
мариновать	pickle
мародерничать	loot
мародерство	plunder
маршрут	itinerary
маска	disguise
маскировать	disguise; conceal
массовый	wholesale
мастер на все руки	handyman-type
мастерство	proficiency; ingenuity; prowess
маститый	venerable
мат. перестановка	permutation
материальный	pecuniary
материнство	maternity
матка	uterus; womb
матрос	sailor
махать	wag
махинация	shenanigan
машинально черкать	doodling
маяк	beacon
маячить	loom
мгновенный	instant
мед. биопсия	biopsy
медленный	sluggish
медлить	loiter
медный	copper
медпункт	infirmary
медь	copper
между	midst
между (уст. поэт.)	betwixt
между тем	meantime
меланхолия	blue
мелкая сумма	groat
мелкий	shallow
мелкий дождь	drizzle
мелководный	shoal
мелководье	shoal
мелкое преступление	misdemeanor
мелочь	trifle
мельница	mill
меня обломали	turn me down
меняться	fluctuate
мера	extent; measure; remedy
мерзавец	scoundrel
мерзкий	filthy
мерить	measure
мертвечина	carrion
мертвый	dead
мерцать	gleam
месиво	mash
мести	sweep
местный	indigenous
место поклонения	shrine
место проведения	venue
место у иллюминатора	window seat
место у окна	window seat
место у прохода	aisle seat
местожительство	domicile
местопребывание	abode
месть	revenge; vengeance
металлургический комбинат	smelter
метание столба	caber
метать	toss
метаться	flounce
метель	blizzard
метка	notch; label; cue
метко	aptly
метла	broom
метод	approach; manner
мешанина	mingle
мешать	inhibit; thwart; bother; encumber; interrupt; obstruct; hamper; impede; interfere; prohibit
мешкать	loiter
мешок	pouch; sack
мешочек	pouch
мещанин	philistine
мигать	blink
микроб	germ
микросхема	circuitry
милосердие	grace; ruth; charity; mercy
милосердный	gracious
милостивый	gracious
милостыня	alms; charity
милость	benefaction
мимо	past
мимолетный	passing
мимоходом	in passing
миндаль	almond
миндальный	almond
миниатюрный	diminutive
миномет	mortar
мириться	condone; put up with
мирный	calm
мирской	worldly; secular
мирянин	secular
мистификация	hoax
мичман	ensign
мишура	gaud
мне отказали	turn me down
многообещающий	promising
многообразие	manifold; varieties
многословный	verbose
многосторонний	versatile
многофункциональный	versatile
многочисленный	vast
множество	plenty; abundance
могила	mound
модель совершенства	paragon
модернизация	enhancement
модифицировать	modify
мозоль	blister
молва	rumour
молитва	pray
молить	supplicate
молиться	pray
молодая баранина	lamb
молодое деревце	sapling
молодожены	newlyweds
молодой	adolescent
молодой олень	fawn
молочные продукты	dairy
молочный	lactic; dairy
молочный магазин	dairy
молча	silently; mutely
молчаливо	tacitly
молчаливый	tacit
мольба	plea
мор	pestilence
моргать	blink
моргнуть	wink
морда	muzzle; snout
мореходный	nautical
мороз	freeze
моросить	drizzle
морская болезнь	nausea
морская водоросль	alga
морской	nautical; pelagic
морской гребешок	scallop
морщина	crinkle; wrinkle
моряк	sailor
мотыга	hack; hoe
мотылек	moth
мох	moss
мошенник	crook; rogue; knave; rascal; deceiver
мошенничать	defraud
мошеннический	fraudulent
мошенничество	sham
мошонка	scrotum
мощеная улица	pave
мощь	strength
моющее средство	detergent
мрак	gloom
мрачно	darkly
мрачный	dismal; gloomy; grim; murky; morose; solemn; sullen; eerie; somber
мстительный	vindictive
мстить	avenge; retaliate
мудрость	wisdom
мудрый	wise; profound
мужественный	manful
мужество	audacity
муравейник	anthill
мурлыканье	purr
мурлыкать	purr
мускусная дыня	cantaloup
мусор	litter; rubbish
мусорить	litter
мусоросжигатель	incinerator
мусорщик	scavenger
мутить воду	puddle
мутный	turbid
мучение	torment
мучительный	cruel; excruciating; burdensome
мучить	excruciate; torment; torture
мщение	vengeance
мысли	thoughts
мыслительный	cognition
мысль о	the thought of a
мыслящий	conscious
мыть	bathe
мыть пол шваброй	mop
мыть щеткой	scrub
мышление	mindset
мышонок	mousy
мягкий	gentle; bland; mild
мягко	gently
мягкость	gentleness; meekness
мякиш	crumb
мясник	butcher
мясной отвар	broth
мясо птицы	poultry
мятеж	insurgency; insurrection; riot; outbreak
мятежник	insurgent
мятый	battered
на	onto; upon
на берегу	ashore
на вид	seemingly
на вкус и цвет	each to their own
на всем протяжении	throughout
на всякий случай	just in case
на днях	lately
на должность	appoint
на переднем плане	fore
на цыпочках	tiptoe
набеги бомбардировки	raids
набекрень	askew
набережная	embankment; quay
набивать	stow
наблюдать	observe; oversee
набожный	devout; pious
набросок	outline
наведение справок	inquiry
наверняка	for sure
навес	canopy; shed
навигационный	nautical
навлечь на себя	incur
наводить на мысль	ring a bell
наводить порядок	marshal
наводить справки	inquire
наводнение	deluge; inundation
навоз	manure
навскидку	offhand
навязчивая идея	obsession
навязчиво расхваливать	tout
навязчивый	intrusive
навязывание своих мнений	intrusion
навязывать	impose
нагибать	stoop
нагло	boldly
наглость	impudence; audacity
наглый	impudent; impertinent; saucy
наглядный	descriptive
награбленное	loot
награбленные вещи	pillage
награда	reward
нагруженный	laden
надвигаться	impend
надвигающийся	imminent
надевать	put on
надевать наручники	handcuff
надежность	credibility
надежный	reliable; tenable; robust; durable
надел	allotment
надеяться	rely
надзиратель	warden
надзирать	oversee
надлежащий	due
надменность	arrogance
надменный	arrogant; haughty
надоедать	irk; pester
надпись	inscription
надрез	incision
надувать	inflate
надувать губы	pout
надутые губы	pout
наем	hire
название	title
наземный	terrestrial
назидание	edification
назло	in spite
назначать	charge
назначать время	appoint
назначать лекарство	prescribe
назойливый	intrusive
наивно	naively
наивность	simplicity
наилучший	exquisitely
наименование	entitlement
наискось	aslant
найденный клад	trove
наказание	nemesis; retribution
накапливать	accumulate; accumulate
накидка	cloak
накладные расходы	overhead
наклон	incline; slope
наклонность	inclination
наклонный	oblique
наклонять	tilt; stoop
наковальня	anvil
наконечник	tip
наконечник копья	spearhead
накопить	amass
накопляться	accrue
накрывать	cover
наладить контакт	get in touch
налет полиции	bust
наливать	pour
наличие	presence
налог	levy
налог на прибыль	tax expense
налоговая декларация	tax return
налоговые поступления	tax return
налоговый вычет	tax deductible
наложение	overlap; overlay
наложница	consort
наматывать	spooled
наматывать на катушку	reel
намек	cue; hint
намекать	allude; steer
намереваться	intend
намерение	intention; aim
намеренно	knowingly; on purpose
намордник	muzzle
намылить	lather
намёк	allude
нанести	inflict
нанизывать	thread
наниматель	tenant
нанимать	employ; hire
наносить оскорбление	insult
наносить поражение	defeat
наносить ущерб	impair
наоборот	vice versa; contrariwise; conversely; on the contrary
наотмашь	backhand
нападать	struck
нападать из засады	ambush
нападение	onslaught; assault; bout
нападки	assault
напасти	adversity
наперевес	atilt
наперсток	thimble
напиток	beverage
напластовываться	stratify
наплыв	inflow
наполнять	stow
наполнять благоуханием	embalm
напоминать	remind; resemble; ring a bell
напоминать о чем-л	remind
напоминающий	reminiscent
напомнить	remind
напористый	assertive
направлять	steer
напрасно	in vain; vainly
напрасный	vain
напротив	on the contrary
напряжение	strain; tension; struggle
напряженность	tension
напряженный	strenuous
напрямик	straight out
напрячь	strain
напуганный	fearful; frightened; afraid
напугать	startle
напускать туману	obfuscate
напутать	blunder
напыщенный	grandiose
нарастание	accrual; swell
нарастать	accrue; swell
наращивание	buildup
нарезать	chop
наркоман	addict; stoner
нарождающийся	nascent
нарост	node; nodule
нарочно	on purpose; deliberately
наружность	appearance; facade
наручник	handcuff
наручный	wrist
нарушать	violate
нарушение	disruption; disturbance; impairment
нарушение закона	breach
нарушитель	perpetrator
нарушитель границы	infiltrator
наряд	attire; apparel
наряжать	attire
насадить	impale
насаживать	skewer
насильно уводить	abduct
насильственное разъединение	avulsion
насильственный	coercive; violent
насильственный увоз	abduction
наслаждаться	relish
наследник	descendant; successor
наследственность	heredity
наследство	bequest
насмехаться	sneer; taunt; scoff
насмешка	mockery; ridicule; scoff; sneer; taunt
насмешливый	quizzical
насос	pump
наставление	edification
настаивать	infuse; insist
настаивать на	urge
настойчиво	persevere; persist
настойчиво утверждать	insist
настойчивость	perseverance
настойчивый	assertive; persistent
настораживающий	alarming
настоящий	genuine
настоящим	hereby
настроение	mood
настройка	tweak; adjustment
наступательный	offensive
наступать	close in
наступить	ensue
насыпь	mound; embankment
насыщение	satiety; saturation
насыщенность	saturation
наталкивался	faced
натирать	rub; chafe
натиск	onslaught
натягивать	tighten
натянутость	tension
натянутый	forced
научный труд	treatise
нахал	impertinent
нахальный	impudent; saucy
находить	detect; struck
находить недостатки	haggle
находить оправдание	justify
нацеливаться	aim
начало	outbreak; origination; commencement; origin
начинать	commence
начинаться	commence
начинающий ходить	toddler
начисление	accrual
начисленный (но не оплаченный)	accrual
нашивка	stripe
нащупывать	fumble
не более чем	mere
не включать	omit
не выдавать эмоций	not bat an eye
не выраженный словами	tacit
не заметить	overlook
не на должном уровне	subpar
не одобрять	disapprove
не подозревающий	unaware
не подозревая	unaware
не позволять	forbid
не признавать	disown
не принимать участия	abstain
не совпадать	diverge
не срабатывать	malfunction
неактивный	slack
небесный	celestial
неблагодарный	ungrateful
неблагоприятный	adverse
небольшой диван	settee
небрежно	loosely
небрежность	nonchalance
небрежный	sloppy; remiss
небрежный почерк	scrawl
небывалый урожай	bumper crop
невдалеке	in the offing
неведение	ignorance
неведомый	unbeknownst
невежа	cad
невежда	ignoramus
невежественный	clueless
невежество	ignorance
невежливый	coarse; gross
невезучий	hapless
невероятный	implausible; incredible; unlikely
невеста	fiancee
невеста до свадьбы	fiancee
невзгоды	misery
невмоготу	unbearable
невнятно	indistinctly
невозможный	implausible
невозмутимый	unflappable; calm
невольный	unwitting; involuntary
неволя	captivity
невообразимый	inconceivable
невоспитанный	rude
невтерпеж	unbearable
невыгодное положение	disadvantage
невыносимый	unbearable
нега	bliss
негибкий	stiff
негибким	stiffen
негладкий	uneven
неглубокий	shallow
негнущийся	rigid
негодник	wretch
негодный	unfit
негодование	resentment
негодовать	resent
негодующий	indignant
негодяй	knave; scoundrel; wretch; rascal; villain
неграмотный	illiterate
недавно	lately
недвижимое имущество	real estate
недвижимость	real estate
недвусмысленно	unequivocally
недееспособность	incapacity
недобросовестный	unscrupulous
недоверчивый	suspicious
недоволен	displeased
недовольная гримаса	pout
недовольный	discontent; disgruntled; displeased
недовольство	discontent; grudge; complaint
недоедать	malnourish
недомогать	ail
недоооценка	underestimate
недооценивать	underestimate; lessen
недопустимый	inadmissible
недосмотр	oversight
недостаток	dearth; drawback; flaw; lack; scarcity; shortcoming; shortage; absence; disadvantage; deficiency
недостаточный	deficient; insufficient; scant; scarce
недостача	shortfall
недоумевать	perplex
недоумение	perplexity
нежелание	reluctance
нежно	gently
нежно любить	cherish
нежность	affection; tenderness
нежный	tender; fond; gentle
независимый	maverick
незаинтересованный	disinterested
незаконно	unduly
незаконный	illicit
незамаскированный	undisguised
незамедлительно	instantly
незаменимый	indispensable
незаметный	insensible
незамужняя	unwed
незначительно	slightly
незначительность	nothingness
незначительный	negligible; miniscule
неизбежно	inevitably
неизбежность	necessity
неизбежный	inevitable; unavoidable; imminent
неизвестность	suspense
неизлечимый	incurable
неизмененный	unaltered
неизменно	invariably
неизменный	unaltered; abiding
неискоренимый	incurable
неисправность	malfunction
неистовство	frenzy; rampage
неистовый	frenetic; fierce
неистощимый	inexhaustible
неисцелимый	incurable
неисчерпаемый	inexhaustible
некогда	erstwhile
некомпетентный	inept
некстати	amiss
неладно	amiss
нелепый	incongruous; ridiculous; ludicrous; priceless
неловкий	awkward; clumsy
неловкость	awkwardness; tension
немалый	sizable
нематериальный	intangible
немедленно	instantly; promptly; right away
немедленный	immediate; instant; prompt
неминуемо	inevitably
неминуемый	unavoidable; imminent
немного	slightly
немного погодя	after a while
немощный	feeble
немыслимый	inconceivable
ненавидеть	abhor; loathe; abominate
ненависть	hatred
ненамеренный	involuntary
ненароком	inadvertently
ненасытный	insatiable; voracious
ненормальный	insane
ненужные громоздкие вещи	lumber
необработанный	raw
необразованный	illiterate
необратимый	irrevocable
необузданный	rampant
необходимое условие	prerequisite
необходимость	necessity
необходимость отчитываться	accountability
необходимый	essential; indispensable
необъятный	immense
необычный	curious
неограниченный	indefinite
неоднозначность	equivocation
неоднозначный	ambiguous
неодобрение	condemnation; objection
неодобрительно относиться	disapprove
неожиданно	suddenly; out of blue
неожиданный	sudden
неопределенно	vaguely
неопределенный	indefinite; vague
неопрятный	grubby; sleazy
неоспоримый	undisputed
неосторожность	negligence
неосязаемый	intangible
неотесанность	coarseness
неотесанный	uncouth
неотличимый	indistinguishable
неотступно	relentlessly
неотчетливо	obscurely
неохота	reluctance
неохотно	begrudgingly; grudgingly
неохотный	reluctant; averse
неочищенный	crude
непахнущий	odourless
неплатежеспособность	insolvency
непобедимый	invincible
неповрежденный	intact
неподатливый	intractable
неподвижность	tranquility
неподвижный	stationary
неподдельный	genuine
неподходящий	unfit
непоколебимый	resolute; steadfast
непокорный	intractable
непомерный	exorbitant; excessive
непонятный	incomprehensible; weird
непоследовательный	discursive
непослушный	naughty; mischievous
непосредственно	firsthand; intimately
непостижимый	incomprehensible; intangible
непостоянный	fickle; erratic
неправдоподобно	implausible
неправдоподобный	unlikely; incredible
неправильно	amiss; unduly
неправильный	perverse; vicious
непревзойденное мастерство	excellence
непревзойденный	unmatched
непредвзятый	impartial
непредвиденное обстоятельство	contingency
непреднамеренно	inadvertently
